id,code,name,brand,category,applications,short_description,full_description,image,featured,status,issues,source_url
7,822,822 TPR - KEO DÁN ĐỊNH VỊ,TPR,Keo xịt và hóa chất TPR,Mỹ Thuật|Nghệ Thuật Quảng Cáo|May Mặc,"Một sản phẩm rất cần thiết cho các xưởng dệt may & xưởng thêu. Giúp xử lý được nhiều vấn đề trong qúa trình ráp nối & định vị các chi tiếtCó thể lột ra dán lại nhiều lần, không làm nhăn bề mặt vải. Không gây dính keo...","Một sản phẩm rất cần thiết cho các xưởng dệt may & xưởng thêu.
Giúp xử lý được nhiều vấn đề trong qúa trình ráp nối & định vị các chi tiếtCó thể lột ra dán lại nhiều lần, không làm nhăn bề mặt vải.
Không gây dính keo lên thân kim may & kim thêu
Công thức pha chế rất sạch, không bị ngấm qua vải & qua giấy.",data/crawl/assets/12923f274ee76bfa.png,true,needs_review,,https://sprayway-tpr.com/vn/san-pham/7/822-tpr-keo-dan-dinh-vi.html
16,961,961 - DẦU CHỐNG RỈ SÉT,Sprayway,Bình xịt công nghiệp Sprayway,Ngoại Thất Ô tô|Thiết Bị Tự Động|Kiếng và Gương|Dịch Vụ Sửa Chữa|Dịch Vụ Bảo Trì|Siêu Thị|May Mặc|Quảng Cáo,"Chai xịt 961 giúp tháo gỡ dễ dàng các bu-lông, ốc vít, cơ cấu kim loại, ... bị rỉ sét do lâu ngày. Có tác dụng bôi trơn & bảo vệ cho các chi tiết cơ khí khi tháo gỡ (giảm hư hại phần răng ốc, giảm đứt gãy ốc, ...) Cha...","Chai xịt 961 giúp tháo gỡ dễ dàng các bu-lông, ốc vít, cơ cấu kim loại, ... bị rỉ sét do lâu ngày.
Có tác dụng bôi trơn & bảo vệ cho các chi tiết cơ khí khi tháo gỡ (giảm hư hại phần răng ốc, giảm đứt gãy ốc, ...)
Chai xịt 961 có tác dụng bôi trơn & chống rỉ sét khi phun lên chi tiết kim loại, công cụ cơ khí, ...
Không dẫn điện, lâu bị khô.",data/crawl/assets/efa83ed845ca4f99.png,false,needs_review,,https://sprayway-tpr.com/vn/san-pham/16/hoil-penetrating-oil---rust-preventative.html
28,043,043 - CHẤT LAU KIẾNG (CÓ CHỨA CHẤT AMMONIATE),Sprayway,Bình xịt công nghiệp Sprayway,Ngoại Thất Ô tô|Phụ Tùng Ô tô|Thiết Bị Ô tô|Thiết Bị Tự Động|Gia Dụng & Nội Thất|Kiếng và Gương|Dịch Vụ Sửa Chữa|Hàng Tiêu Dùng|Dịch Vụ Bảo Trì|Siêu Thị|Ngành Gỗ,"Chất tẩy cao cấp dạng bọt, không bị chảy phí. Tẩy sạch các vết bẩn trên bề mặt tiếp xúc Nhanh khô, không để lại bụi. Chứa chất ammonia -không gây hại","Chất tẩy cao cấp dạng bọt, không bị chảy phí.
Tẩy sạch các vết bẩn trên bề mặt tiếp xúc
Nhanh khô, không để lại bụi.
Chứa chất ammonia -không gây hại",data/crawl/assets/114344ee615eed16.jpg,false,needs_review,,https://sprayway-tpr.com/vn/san-pham/28/ammoniated-glass-cleaner.html
42,938,938 - TỰ ĐỘNG SÁNG BÓNG NGAY TỨC THÌ (Không chứa silicone),Sprayway,Bình xịt công nghiệp Sprayway,Ngoại Thất Ô tô|Phụ Tùng Ô tô|Thiết Bị Ô tô|Thiết Bị Tự Động,Tạo độ sáng bóng cho các ứng dụng nói chung và các khu vực khó tiếp cận. Tuyệt vời để sử dụng cho các chi tiết sản phẩm sơn. Làm sáng bóng nhanh và lâu dài. Không làm tổn hại bề mặt sơn tươi. Không chứa silicone.,"Tạo độ sáng bóng cho các ứng dụng nói chung và các khu vực khó tiếp cận.
Tuyệt vời để sử dụng cho các chi tiết sản phẩm sơn.
Làm sáng bóng nhanh và lâu dài.
Không làm tổn hại bề mặt sơn tươi.
Không chứa silicone.",data/crawl/assets/e61511a939b32de1.jpg,true,needs_review,,https://sprayway-tpr.com/vn/san-pham/42/auto-care-non-silicone-instant-shine.html
52,077,077 - DẦU SILICONE BÔI TRƠN DẠNG ƯỚT,Sprayway,Bình xịt công nghiệp Sprayway,Phụ Tùng Ô tô|Thiết Bị Tự Động|Điện Tử & Văn Phòng|Gia Dụng & Nội Thất|Kiếng và Gương|Nghệ Thuật Quảng Cáo|Dịch Vụ Sửa Chữa|Dịch Vụ Bảo Trì|May Mặc|Ngành Gỗ,"Loại dầu bôi trơn có hiệu quả kinh tế cao dùng trong ngành tiêu dùng, ngành may. Tránh được hiện tượng máy bị khô, giảm tiếng ồn do ma sát. Ngoài ra còn có lớp bảo vệ kim loại không rỉ sét, tăng tuổi thọ máy. Dùng để...","Loại dầu bôi trơn có hiệu quả kinh tế cao dùng trong ngành tiêu dùng, ngành may.
Tránh được hiện tượng máy bị khô, giảm tiếng ồn do ma sát. Ngoài ra còn có lớp bảo vệ kim loại không rỉ sét, tăng tuổi thọ máy.
Dùng để bôi trơn các thiết bị truyền động, dao cắt, máy ép và các loại cơ khí...Sử dụng rộng rãi trong ngàng tiêu dùng, ngành dệt may, thêu (bôi trơn máy, chỉ) hạn chế tối đa hiện tượng đứt chỉ, nhảy mũi...tăng tốc độ và hiệu quả công việc.",data/crawl/assets/8c462b9e59d41d1c.png,true,needs_review,,https://sprayway-tpr.com/vn/san-pham/52/industrial-silicone-lubricant.html
54,092,092 - KEO DÁN CHỊU NHIỆT VÀ CHỊU NẶNG CAO,Sprayway,Bình xịt công nghiệp Sprayway,Ngoại Thất Ô tô|Phụ Tùng Ô tô|Thiết Bị Tự Động|Gia Dụng & Nội Thất|Kiếng và Gương|Dịch Vụ Sửa Chữa|Dịch Vụ Bảo Trì|Siêu Thị|Quảng Cáo|Ngành Gỗ,"Công thức cho ô tô chuyên nghiệp Dễ dàng kết dính những vật nặng như sắt, gỗ, nhựa. Chịu nhiệt cao, chịu nặng tốt, Chịu nhiệt và nước tuyệt vời, có phạm vi kết dính rộng, cho phép tái định vị.","Công thức cho ô tô chuyên nghiệp
Dễ dàng kết dính những vật nặng như sắt, gỗ, nhựa.
Chịu nhiệt cao, chịu nặng tốt,
Chịu nhiệt và nước tuyệt vời, có phạm vi kết dính rộng, cho phép tái định vị.",data/crawl/assets/0aed205a45288745.jpg,true,needs_review,,https://sprayway-tpr.com/vn/san-pham/54/fast-tack-hi-temp-heavy-duty-trim-adhesive.html
57,715,"715 - CHẤT BÔI TRƠN CHỊU NHIỆT CAO, KHÔNG BỊ KHÔ",Sprayway,Bình xịt công nghiệp Sprayway,Ngoại Thất Ô tô|Phụ Tùng Ô tô|Kiếng và Gương|Nghệ Thuật Quảng Cáo|Dịch Vụ Sửa Chữa|Dịch Vụ Bảo Trì|May Mặc|Quảng Cáo,"Được chế tạo cho các ứng dụng khi có kim loại tiếp xúc với kim loại & cần có bôi trơn Tạo ra lớp phim bôi trơn dạng mỡ, chịu nhiệt độ cao. Giúp chống rỉ sét cho các chi tiết được phun Giúp các máy móc chạy êm, tăng hi...","Được chế tạo cho các ứng dụng khi có kim loại tiếp xúc với kim loại & cần có bôi trơn
Tạo ra lớp phim bôi trơn dạng mỡ, chịu nhiệt độ cao.
Giúp chống rỉ sét cho các chi tiết được phun
Giúp các máy móc chạy êm, tăng hiệu qủa sử dụng máy.
Lớp mỡ tạo ra sẽ không bị rửa trôi, không bị chảy tuột, không bị khô nhanh.",data/crawl/assets/165479b83f1f9755.jpg,false,needs_review,,https://sprayway-tpr.com/vn/san-pham/57/industrial-white-grease-lubricant.html
88,676,676 - CHẤT LÀM SẠCH THẢM,Sprayway,Bình xịt công nghiệp Sprayway,Thiết Bị Ô tô|Điện Tử & Văn Phòng|Gia Dụng & Nội Thất|Hàng Tiêu Dùng|Dịch Vụ Bảo Trì|Siêu Thị,Thợ tẩy thảm bẩn cực mạnh với công thức đặc biệt tẩy điểm khó và vết bẩn trên thảm ngay lập tức Lý tưởng dùng để tẩy vết bẩn trước khi giặt Tầy sạch các vết bẩn nhanh chóng. Tia phun mạnh với công thức không tạo bọt g...,"Thợ tẩy thảm bẩn cực mạnh với công thức đặc biệt tẩy điểm khó và vết bẩn trên thảm ngay lập tức
Lý tưởng dùng để tẩy vết bẩn trước khi giặt
Tầy sạch các vết bẩn nhanh chóng.
Tia phun mạnh với công thức không tạo bọt giúp tẩy nhanh các vết bẩn mà không cần chà xát hoặc cọ rửa",data/crawl/assets/60dbacd8402f93a5.png,false,needs_review,,https://sprayway-tpr.com/vn/san-pham/88/carpet-spotter-plus.html
165,920,920 - DẦU ĐÁNH BÓNG,Sprayway,Bình xịt công nghiệp Sprayway,Gia Dụng & Nội Thất|Kiếng và Gương|Dịch Vụ Bảo Trì,"Công thức dành cho thủy tinh/gương và ngành mài ,đánh bóng kim loại và thủy tinh. Giảm thiểu băng và thay đổi. Giữ những góc cạnh mềm mại và dễ cắt gọt. Kéo dài tuổi thọ của vành đai và bánh xe. Tăng năng xuất. Cải th...","Công thức dành cho thủy tinh/gương và ngành mài ,đánh bóng kim loại và thủy tinh.
Giảm thiểu băng và thay đổi.
Giữ những góc cạnh mềm mại và dễ cắt gọt.
Kéo dài tuổi thọ của vành đai và bánh xe.
Tăng năng xuất.
Cải thiện chất lượng sản phẩm.",data/crawl/assets/4fc0c0894f9fe8d6.jpg,false,needs_review,,https://sprayway-tpr.com/vn/san-pham/165/industrial-polishing-oil.html
203,836,836 - DẦU TẨY RỬA CƯA VÀ CAO SU,Sprayway,Bình xịt công nghiệp Sprayway,Gia Dụng & Nội Thất|Dịch Vụ Sửa Chữa|Ngành Gỗ,"Được tạo với phần cứng chuyện nghiệp và ngành chế biến gỗ. Nhanh chóng làm sạch cưa, những phần bộ định vị và máy cắt máy ép. Dễ sử dụng, hoạt động chỉ trong vài phút. An toàn để sử dụng trên cacbua, thép tốc độ cao,...","Được tạo với phần cứng chuyện nghiệp và ngành chế biến gỗ.
Nhanh chóng làm sạch cưa, những phần bộ định vị và máy cắt máy ép.
Dễ sử dụng, hoạt động chỉ trong vài phút.
An toàn để sử dụng trên cacbua, thép tốc độ cao, thép stianless, và bề mặt gang.",data/crawl/assets/50f5112967067b95.jpg,true,needs_review,,https://sprayway-tpr.com/vn/san-pham/203/saw-cleaner-pitch---gum-remover.html
